1, Linghu Chong, Swordsman, 28
797, Batty, Rome, 33
798, Duncan, Spurs, 27
799, Linghu Chong, Swordsman, 28
800, Kidd, New Jersey Nets, 30
801, Bryant, Los Angeles Lakers, 24
802, Ro Baggio, Brescia, 36
803, Batty, Rome, 33
804, Duncan, Spurs, 27
805, Linghu Chong, Swordsman, 28
806, Kidd, New Jersey Nets, 30
807, Bryant, Los Angeles Lakers, 24
808, Luo Baggio, Brescia, 36
809, Batty, Rome, 33
810, Duncan, Spurs, 27
811, Linghu Chong, Swordsman, 28
812, Kidd, New Jersey Nets, 30
813, Bryant, Los Angeles Lakers, 25
814, Luo Baggio, Brescia, 36
815, Batty, Rome, 33
816, Duncan, Spurs, 27
817, Linghu Chong, Swordsman, 28
818, Kidd, New Jersey Nets, 30
819, Bryant, Los Angeles Lakers, 24
820, Luo Baggio, Brescia, 36
821, Batty, Rome, 33
822, Duncan, Spurs, 27
823, Linghu Chong, Swordsman, 28
824, Kidd, New Jersey Nets, 30
825, Bryant, Los Angeles Lakers, 24
826, Luo Baggio, Brescia, 36
827, Batty, Rome, 33
828, Duncan, Spurs, 27
829, Linghu Chong, Swordsman, 28
830, Kidd, New Jersey Nets, 30
831, Bryant, Los Angeles Lakers, 24
832, Luo Baggio, Brescia, 36
833, Batty, Rome, 33
834, Duncan, Spurs, 27
835, Linghu Chong, Swordsman, 28
836, Kidd, New Jersey Nets, 30
837, Bryant, Los Angeles Lakers, 24
838, Luo Baggio, Brescia, 36
839, Batty, Rome, 33
840, Duncan, Spurs, 27
841, Linghu Chong, Swordsman, 28
842, Kidd, New Jersey Nets, 30
843, Bryant, Los Angeles Lakers, 25
844, Ro Baggio, Brescia, 36
845, Batty, Rome, 33
846, Duncan, Spurs, 27
847, Linghu Chong, Swordsman, 28
848, Kidd, New Jersey Nets, 30
849, Bryant, Los Angeles Lakers, 24
850, Luo Baggio, Brescia, 36
851, Batty, Rome, 33
852, Duncan, Spurs, 27
853, Linghu Chong, Swordsman, 28
854, Kidd, New Jersey Nets, 30
855, Bryant, Los Angeles Lakers, 24
856, Luo Baggio, Brescia, 36
857, Batty, Rome, 33
858, Duncan, Spurs, 27
859, Linghu Chong, Swordsman, 28
860, Kidd, New Jersey Nets, 30
861, Bryant, Los Angeles Lakers, 24
862, Luo Baggio, Brescia, 36
863, Batty, Rome, 33
864, Duncan, Spurs, 27
865, Linghu Chong, Swordsman, 28
866, Kidd, New Jersey Nets, 30
867, Bryant, Los Angeles Lakers, 24
868, Luo Baggio, Brescia, 36
869, Batty, Rome, 33
870, Duncan, Spurs, 27
871, Linghu Chong, Swordsman, 28
872, Kidd, New Jersey Nets, 30
873, Bryant, Los Angeles Lakers, 25
874, Luo Baggio, Brescia, 36
875, Batty, Rome, 33
876, Duncan, Spurs, 27
877, Linghu Chong, Swordsman, 28
878, Kidd, New Jersey Nets, 30
879, Bryant, Los Angeles Lakers, 24
880, Luo Baggio, Brescia, 36
881, Batty, Rome, 33
882, Duncan, Spurs, 27
883, Linghu Chong, Swordsman, 28
884, Kidd, New Jersey Nets, 30
885, Bryant, Los Angeles Lakers, 24
886, Luo Baggio, Brescia, 36
887, Batty, Rome, 33
888, Duncan, Spurs, 27
889, Linghu Chong, Swordsman, 28
890, Kidd, New Jersey Nets, 30
891, Bryant, Los Angeles Lakers, 24
892, Luo Baggio, Brescia, 36
893, Batty, Rome, 33
894, Duncan, Spurs, 27
895, Linghu Chong, Swordsman, 28
896, Kidd, New Jersey Nets, 30
897, Bryant, Los Angeles Lakers, 24
898, Luo Baggio, Brescia, 36
899, Batty, Rome, 33
900, Duncan, Spurs, 27
901, Linghu Chong, Swordsman, 28
902, Kidd, New Jersey Nets, 30
903, Bryant, Los Angeles Lakers, 25
904, Luo Baggio, Brescia, 36
905, Batty, Rome, 33
906, Duncan, Spurs, 27
907, Linghu Chong, Swordsman, 28
908, Kidd, New Jersey Nets, 30
909, Bryant, Los Angeles Lakers, 24
910, Luo Baggio, Brescia, 36
911, Batty, Rome, 33
912, Duncan, Spurs, 27
913, Linghu Chong, Swordsman, 28
914, Kidd, New Jersey Nets, 30
915, Bryant, Los Angeles Lakers, 24
916, Luo Baggio, Brescia, 36
917, Batty, Rome, 33
918, Duncan, Spurs, 27
919, Linghu Chong, Swordsman, 28
920, Kidd, New Jersey Nets, 30
921, Bryant, Los Angeles Lakers, 24
922, Ro Baggio, Brescia, 36
923, Batty, Rome, 33
924, Duncan, Spurs, 27
925, Linghu Chong, Swordsman, 28
926, Kidd, New Jersey Nets, 30
927, Bryant, Los Angeles Lakers, 24
928, Luo Baggio, Brescia, 36
929, Batty, Rome, 33
930, Duncan, Spurs, 27
931, Linghu Chong, Swordsman, 28
932, Kidd, New Jersey Nets, 30
933, Bryant, Los Angeles Lakers, 25
934, Luo Baggio, Brescia, 36
935, Batty, Rome, 33
936, Duncan, Spurs, 27
937, Linghu Chong, Swordsman, 28
938, Kidd, New Jersey Nets, 30
939, Bryant, Los Angeles Lakers, 24
940, Ro Baggio, Brescia, 36
941, Batty, Rome, 33
942, Duncan, Spurs, 27
943, Linghu Chong, Swordsman, 28
944, Kidd, New Jersey Nets, 30
945, Bryant, Los Angeles Lakers, 24
946, Luo Baggio, Brescia, 36
947, Batty, Rome, 33
948, Duncan, Spurs, 27
949, Linghu Chong, Swordsman, 28
950, Kidd, New Jersey Nets, 30
951, Bryant, Los Angeles Lakers, 24
952, Luo Baggio, Brescia, 36
953, Batty, Rome, 33
954, Duncan, Spurs, 27
955, Linghu Chong, Swordsman, 28
956, Kidd, New Jersey Nets, 30
957, Bryant, Los Angeles Lakers, 24
958, Luo Baggio, Brescia, 36
959, Batty, Rome, 33
960, Duncan, Spurs, 27
961, Linghu Chong, Swordsman, 28
962, Kidd, New Jersey Nets, 30
963, Bryant, Los Angeles Lakers, 25
964, Luo Baggio, Brescia, 36
965, Batty, Rome, 33
966, Duncan, Spurs, 27
967, Linghu Chong, Swordsman, 28
968, Kidd, New Jersey Nets, 30
969, Bryant, Los Angeles Lakers, 24
970, Luo Baggio, Brescia, 36
971, Batty, Rome, 33
972, Duncan, Spurs, 27
973, Linghu Chong, Swordsman, 28
974, Kidd, New Jersey Nets, 30
975, Bryant, Los Angeles Lakers, 24
976, Ro Baggio, Brescia, 36
977, Batty, Rome, 33
978, Duncan, Spurs, 27
979, Linghu Chong, Swordsman, 28
980, Kidd, New Jersey Nets, 30
981, Bryant, Los Angeles Lakers, 24
982, Ro Baggio, Brescia, 36
983, Batty, Rome, 33
984, Duncan, Spurs, 27
985, Linghu Chong, Swordsman, 28
986, Kidd, New Jersey Nets, 30
987, Bryant, Los Angeles Lakers, 24
988, Luo Baggio, Brescia, 36
989, Batty, Rome, 33
990, Duncan, Spurs, 27
991, Linghu Chong, Swordsman, 28
992, Kidd, New Jersey Nets, 30
993, Bryant, Los Angeles Lakers, 25
994, Luo Baggio, Brescia, 36
995, Batty, Rome, 33
996, Duncan, Spurs, 27
997, Linghu Chong, Swordsman, 28
998, Kidd, New Jersey Nets, 30
999, Bryant, Los Angeles Lakers, 24
1000, Luo Baggio, Brescia, 36
1001, Batty, Rome, 33
1002, Duncan, Spurs, 27
1003, Linghu Chong, Swordsman, 28
1004, Kidd, New Jersey Nets, 30
1005, Bryant, Los Angeles Lakers, 24
1006, Luo Baggio, Brescia, 36
1007, Batty, Rome, 33
1008, Duncan, Spurs, 27
1009, Linghu Chong, Swordsman, 28
1010, Kidd, New Jersey Nets, 30
1011, Bryant, Los Angeles Lakers, 24
1012, Luo Baggio, Brescia, 36
1013, Batty, Rome, 33
1014, Duncan, Spurs, 27
1015, Linghu Chong, Swordsman, 28
1016, Kidd, New Jersey Nets, 30
1017, Bryant, Los Angeles Lakers, 24
1018, Luo Baggio, Brescia, 36
1019, Batty, Rome, 33
1020, Duncan, Spurs, 27
1021, Linghu Chong, Swordsman, 28
1022, Kidd, New Jersey Nets, 30
1023, Bryant, Los Angeles Lakers, 25
1024, Luo Baggio, Brescia, 36
1025, Batty, Rome, 33
1026, Duncan, Spurs, 27
1027, Linghu Chong, Swordsman, 28
1028, Kidd, New Jersey Nets, 30
1029, Bryant, Los Angeles Lakers, 24
1030, Luo Baggio, Brescia, 36
1031, Batty, Rome, 33
1032, Duncan, Spurs, 27
1033, Linghu Chong, Swordsman, 28
1034, Kidd, New Jersey Nets, 30
1035, Bryant, Los Angeles Lakers, 24
1036, Luo Baggio, Brescia, 36
1037, Batty, Rome, 33
1038, Duncan, Spurs, 27
1039, Linghu Chong, Swordsman, 28
1040, Kidd, New Jersey Nets, 30
1041, Bryant, Los Angeles Lakers, 24
1042, Luo Baggio, Brescia, 36
1043, Batty, Rome, 33
1044, Duncan, Spurs, 27
1045, Linghu Chong, Swordsman, 28
1046, Kidd, New Jersey Nets, 30
1047, Bryant, Los Angeles Lakers, 24
1048, Luo Baggio, Brescia, 36
1049, Batty, Rome, 33
1050, Duncan, Spurs, 27
1051, Linghu Chong, Swordsman, 28
1052, Kidd, New Jersey Nets, 30
1053, Bryant, Los Angeles Lakers, 25
1054, Luo Baggio, Brescia, 36
1055, Batty, Rome, 33
1056, Duncan, Spurs, 27
1057, Linghu Chong, Swordsman, 28
1058, Kidd, New Jersey Nets, 30
1059, Bryant, Los Angeles Lakers, 24
1060, Luo Baggio, Brescia, 36
1061, Batty, Rome, 33
1062, Duncan, Spurs, 27
1063, Linghu Chong, Swordsman, 28
1064, Kidd, New Jersey Nets, 30
1065, Bryant, Los Angeles Lakers, 24
1066, Luo Baggio, Brescia, 36
1067, Batty, Rome, 33
1068, Duncan, Spurs, 27
1069, Linghu Chong, Swordsman, 28
1070, Kidd, New Jersey Nets, 30
1071, Bryant, Los Angeles Lakers, 24
1072, Luo Baggio, Brescia, 36
1073, Batty, Rome, 33
1074, Duncan, Spurs, 27
1075, Linghu Chong, Swordsman, 28
1076, Kidd, New Jersey Nets, 30
1077, Bryant, Los Angeles Lakers, 24
1078, Luo Baggio, Brescia, 36
1079, Batty, Rome, 33
1080, Duncan, Spurs, 27
1081, Linghu Chong, Swordsman, 28
1082, Kidd, New Jersey Nets, 30
1083, Bryant, Los Angeles Lakers, 25
1084, Luo Baggio, Brescia, 36
1085, Batty, Rome, 33
1086, Duncan, Spurs, 27
1087, Linghu Chong, Swordsman, 28
1088, Kidd, New Jersey Nets, 30
1089, Bryant, Los Angeles Lakers, 24
1090, Luo Baggio, Brescia, 36
1091, Batty, Rome, 33
1092, Duncan, Spurs, 27
1093, Linghu Chong, Swordsman, 28
1094, Kidd, New Jersey Nets, 30
1095, Bryant, Los Angeles Lakers, 24
1096, Luo Baggio, Brescia, 36
1097, Batty, Rome, 33
1098, Duncan, Spurs, 27
1099, Linghu Chong, Swordsman, 28
1100, Kidd, New Jersey Nets, 30
1101, Bryant, Los Angeles Lakers, 24
1102, Ro Baggio, Brescia, 36
1103, Batty, Rome, 33
1104, Duncan, Spurs, 27
1105, Linghu Chong, Swordsman, 28
1106, Kidd, New Jersey Nets, 30
1107, Bryant, Los Angeles Lakers, 24
1108, Luo Baggio, Brescia, 36
1109, Batty, Rome, 33
1110, Duncan, Spurs, 27
1111, Linghu Chong, Swordsman, 28
1112, Kidd, New Jersey Nets, 30
1113, Bryant, Los Angeles Lakers, 25
1114, Ro Baggio, Brescia, 36
1115, Batty, Rome, 33
1116, Duncan, Spurs, 27
1117, Linghu Chong, Swordsman, 28
1118, Kidd, New Jersey Nets, 30
1119, Bryant, Los Angeles Lakers, 24
1120, Luo Baggio, Brescia, 36
1121, Batty, Rome, 33
1122, Duncan, Spurs, 27
1123, Linghu Chong, Swordsman, 28
1124, Kidd, New Jersey Nets, 30
1125, Bryant, Los Angeles Lakers, 24
1126, Luo Baggio, Brescia, 36
1127, Batty, Rome, 33
1128, Duncan, Spurs, 27
1129, Linghu Chong, Swordsman, 28
1130, Kidd, New Jersey Nets, 30
1131, Bryant, Los Angeles Lakers, 24
1132, Luo Baggio, Brescia, 36
1133, Batty, Rome, 33
1134, Duncan, Spurs, 27
1135, Linghu Chong, Swordsman, 28
1136, Kidd, New Jersey Nets, 30
1137, Bryant, Los Angeles Lakers, 24
1138, Luo Baggio, Brescia, 36
1139, Batty, Rome, 33
1140, Duncan, Spurs, 27
1141, Linghu Chong, Swordsman, 28
1142, Kidd, New Jersey Nets, 30
1143, Bryant, Los Angeles Lakers, 25
1144, Luo Baggio, Brescia, 36
1145, Batty, Rome, 33
1146, Duncan, Spurs, 27
1147, Linghu Chong, Swordsman, 28
1148, Kidd, New Jersey Nets, 30
1149, Bryant, Los Angeles Lakers, 24
1150, Ro Baggio, Brescia, 36
1151, Batty, Rome, 33
1152, Duncan, Spurs, 27
1153, Linghu Chong, Swordsman, 28
1154, Kidd, New Jersey Nets, 30
1155, Bryant, Los Angeles Lakers, 24
1156, Ro Baggio, Brescia, 36
1157, Batty, Rome, 33
1158, Duncan, Spurs, 27
1159, Linghu Chong, Swordsman, 28
1160, Kidd, New Jersey Nets, 30
1161, Bryant, Los Angeles Lakers, 24
1162, Luo Baggio, Brescia, 36
1163, Batty, Rome, 33
1164, Duncan, Spurs, 27
1165, Linghu Chong, Swordsman, 28
1166, Kidd, New Jersey Nets, 30
1167, Bryant, Los Angeles Lakers, 24
1168, Luo Baggio, Brescia, 36
1169, Batty, Rome, 33
1170, Duncan, Spurs, 27
1171, Linghu Chong, Swordsman, 28
1172, Kidd, New Jersey Nets, 30
1173, Bryant, Los Angeles Lakers, 25
1174, Luo Baggio, Brescia, 36
1175, Batty, Rome, 33
1176, Duncan, Spurs, 27
1177, Linghu Chong, Swordsman, 28
1178, Kidd, New Jersey Nets, 30
1179, Bryant, Los Angeles Lakers, 24
1180, Luo Baggio, Brescia, 36
1181, Batty, Rome, 33
1182, Duncan, Spurs, 27
1183, Linghu Chong, Swordsman, 28
1184, Kidd, New Jersey Nets, 30
1185, Bryant, Los Angeles Lakers, 24
1186, Ro Baggio, Brescia, 36
1187, Batty, Rome, 33
1188, Duncan, Spurs, 27
1189, Linghu Chong, Swordsman, 28
1190, Kidd, New Jersey Nets, 30
1191, Bryant, Los Angeles Lakers, 24
1192, Ro Baggio, Brescia, 36
1193, Batty, Rome, 33
1194, Duncan, Spurs, 27
1195, Linghu Chong, Swordsman, 28
1196, Kidd, New Jersey Nets, 30
1197, Bryant, Los Angeles Lakers, 24
1198, Luo Baggio, Brescia, 36
1199, Batty, Rome, 33
1200, Duncan, Spurs, 27
1201, Linghu Chong, Swordsman, 28
1202, Kidd, New Jersey Nets, 30
1203, Bryant, Los Angeles Lakers, 25
1204, Luo Baggio, Brescia, 36
1205, Batty, Rome, 33
1206, Duncan, Spurs, 27
1207, Linghu Chong, Swordsman, 28
1208, Kidd, New Jersey Nets, 30
1209, Bryant, Los Angeles Lakers, 24
1210, Luo Baggio, Brescia, 36
1211, Batty, Rome, 33
1212, Duncan, Spurs, 27
1213, Linghu Chong, Swordsman, 28
1214, Kidd, New Jersey Nets, 30
1215, Bryant, Los Angeles Lakers, 24
1216, Luo Baggio, Brescia, 36
1217, Batty, Rome, 33
1218, Duncan, Spurs, 27
1219, Linghu Chong, Swordsman, 28
1220, Kidd, New Jersey Nets, 30
1221, Bryant, Los Angeles Lakers, 24
1222, Luo Baggio, Brescia, 36
1223, Batty, Rome, 33
1224, Duncan, Spurs, 27
1225, Linghu Chong, Swordsman, 28
1226, Kidd, New Jersey Nets, 30
1227, Bryant, Los Angeles Lakers, 24
1228, Luo Baggio, Brescia, 36
1229, Batty, Rome, 33
1230, Duncan, Spurs, 27
1231, Linghu Chong, Swordsman, 28
1232, Kidd, New Jersey Nets, 30
1233, Bryant, Los Angeles Lakers, 25
1234, Luo Baggio, Brescia, 36
1235, Batty, Rome, 33
1236, Duncan, Spurs, 27
1237, Linghu Chong, Swordsman, 28
1238, Kidd, New Jersey Nets, 30
1239, Bryant, Los Angeles Lakers, 24
1240, Luo Baggio, Brescia, 36
1241, Batty, Rome, 33
1242, Duncan, Spurs, 27
1243, Linghu Chong, Swordsman, 28
1244, Kidd, New Jersey Nets, 30
1245, Bryant, Los Angeles Lakers, 24
1246, Luo Baggio, Brescia, 36
1247, Batty, Rome, 33
1248, Duncan, Spurs, 27
1249, Linghu Chong, Swordsman, 28
1250, Kidd, New Jersey Nets, 30
1251, Bryant, Los Angeles Lakers, 24
1252, Luo Baggio, Brescia, 36
1253, Batty, Rome, 33
1254, Duncan, Spurs, 27
1255, Linghu Chong, Swordsman, 28
1256, Kidd, New Jersey Nets, 30
1257, Bryant, Los Angeles Lakers, 24
1258, Ro Baggio, Brescia, 36
1259, Batty, Rome, 33
1260, Duncan, Spurs, 27
1261, Linghu Chong, Swordsman, 28
1262, Kidd, New Jersey Nets, 30
1263, Bryant, Los Angeles Lakers, 25
1264, Ro Baggio, Brescia, 36
1265, Batty, Rome, 33
1266, Duncan, Spurs, 27
1267, Linghu Chong, Swordsman, 28
1268, Kidd, New Jersey Nets, 30
1269, Bryant, Los Angeles Lakers, 24
1270, Ro Baggio, Brescia, 36
1271, Batty, Rome, 33
1272, Duncan, Spurs, 27
1273, Linghu Chong, Swordsman, 28
1274, Kidd, New Jersey Nets, 30
1275, Bryant, Los Angeles Lakers, 24
1276, Luo Baggio, Brescia, 36
1277, Batty, Rome, 33
1278, Duncan, Spurs, 27
1279, Linghu Chong, Swordsman, 28
1280, Kidd, New Jersey Nets, 30
1281, Bryant, Los Angeles Lakers, 24
1282, Luo Baggio, Brescia, 36
1283, Batty, Rome, 33
1284, Duncan, Spurs, 27
1285, Linghu Chong, Swordsman, 28
1286, Kidd, New Jersey Nets, 30
1287, Bryant, Los Angeles Lakers, 24
1288, Ro Baggio, Brescia, 36
1289, Batty, Rome, 33
1290, Duncan, Spurs, 27
1291, Linghu Chong, Swordsman, 28
1292, Kidd, New Jersey Nets, 30
1293, Bryant, Los Angeles Lakers, 25
1294, Luo Baggio, Brescia, 36
1295, Batty, Rome, 33
1296, Duncan, Spurs, 27
1297, Linghu Chong, Swordsman, 28
1298, Kidd, New Jersey Nets, 30
1299, Bryant, Los Angeles Lakers, 24
1300, Luo Baggio, Brescia, 36
1301, Batty, Rome, 33
1302, Duncan, Spurs, 27
1303, Kidd, New Jersey Nets, 30
1304, Bryant, Los Angeles Lakers, 24
1305, Luo Baggio, Brescia, 36
1306, Batty, Rome, 33
1307, Duncan, Spurs, 27
1308, Linghu Chong, Swordsman, 28
1309, Kidd, New Jersey Nets, 30
1310, Bryant, Los Angeles Lakers, 24
1311, Luo Baggio, Brescia, 36
1312, Batty, Rome, 33
1313, Duncan, Spurs, 27
1314, Linghu Chong, Swordsman, 28
1315, Kidd, New Jersey Nets, 30
1316, Bryant, Los Angeles Lakers, 24
1317, Luo Baggio, Brescia, 36
1318, Batty, Rome, 33
1319, Duncan, Spurs, 27
1320, Linghu Chong, Swordsman, 28
1321, Kidd, New Jersey Nets, 30
1322, Bryant, Los Angeles Lakers, 24
1323, Luo Baggio, Brescia, 36
1324, Batty, Rome, 33
1325, Duncan, Spurs, 27
1326, Linghu Chong, Swordsman, 28
1327, Kidd, New Jersey Nets, 30
1328, Bryant, Los Angeles Lakers, 24
1329, Luo Baggio, Brescia, 36
1330, Batty, Rome, 33
1331, Duncan, Spurs, 27
1332, Linghu Chong, Swordsman, 28
1333, Kidd, New Jersey Nets, 30
1334, Bryant, Los Angeles Lakers, 24
1335, Luo Baggio, Brescia, 36
1336, Batty, Rome, 33
1337, Duncan, Spurs, 27
1338, Linghu Chong, Swordsman, 28
1339, Kidd, New Jersey Nets, 30
1340, Bryant, Los Angeles Lakers, 24
1341, Luo Baggio, Brescia, 36
1342, Batty, Rome, 33
1343, Duncan, Spurs, 27
1344, Linghu Chong, Swordsman, 28
1345, Kidd, New Jersey Nets, 30
1346, Bryant, Los Angeles Lakers, 24
1347, Luo Baggio, Brescia, 36
1348, Batty, Rome, 33
1349, Duncan, Spurs, 27
1350, Linghu Chong, Swordsman, 28
1351, Kidd, New Jersey Nets, 30
1352, Bryant, Los Angeles Lakers, 24
1353, Luo Baggio, Brescia, 36
1354, Batty, Rome, 33
1355, Duncan, Spurs, 27
1356, Linghu Chong, Swordsman, 28
1357, Kidd, New Jersey Nets, 30
1358, Bryant, Los Angeles Lakers, 24
1359, Ro Baggio, Brescia, 36
1360, Batty, Rome, 33
1361, Duncan, Spurs, 27
1362, Linghu Chong, Swordsman, 28
1363, Kidd, New Jersey Nets, 30
1364, Bryant, Los Angeles Lakers, 24
1365, Luo Baggio, Brescia, 36
1366, Batty, Rome, 33
1367, Duncan, Spurs, 27
1368, Linghu Chong, Swordsman, 28
1369, Kidd, New Jersey Nets, 30
1370, Bryant, Los Angeles Lakers, 24
1371, Ro Baggio, Brescia, 36
1372, Batty, Rome, 33
1373, Duncan, Spurs, 27
1374, Linghu Chong, Swordsman, 28
1375, Kidd, New Jersey Nets, 30
1376, Bryant, Los Angeles Lakers, 24
1377, Ro Baggio, Brescia, 36
1378, Batty, Rome, 33
1379, Duncan, Spurs, 27
1380, Linghu Chong, Swordsman, 28
1381, Kidd, New Jersey Nets, 30
1382, Bryant, Los Angeles Lakers, 24
1383, Ro Baggio, Brescia, 36
1384, Batty, Rome, 33
1385, Duncan, Spurs, 27
1386, Linghu Chong, Swordsman, 28
1387, Kidd, New Jersey Nets, 30
1388, Bryant, Los Angeles Lakers, 24
1389, Luo Baggio, Brescia, 36
1390, Batty, Rome, 33
1391, Duncan, Spurs, 27
1392, Linghu Chong, Swordsman, 28
1393, Kidd, New Jersey Nets, 30
1394, Bryant, Los Angeles Lakers, 24
1395, Luo Baggio, Brescia, 36
1396, Batty, Rome, 33
1397, Duncan, Spurs, 27
1398, Linghu Chong, Swordsman, 28
1399, Kidd, New Jersey Nets, 30
1400, Bryant, Los Angeles Lakers, 24
1401, Luo Baggio, Brescia, 36
1402, Batty, Rome, 33
1403, Duncan, Spurs, 27
1404, Linghu Chong, Swordsman, 28
1405, Kidd, New Jersey Nets, 30
1406, Bryant, Los Angeles Lakers, 24
1407, Ro Baggio, Brescia, 36
1408, Batty, Rome, 33
1409, Duncan, Spurs, 27
1410, Linghu Chong, Swordsman, 28
1411, Kidd, New Jersey Nets, 30
1412, Bryant, Los Angeles Lakers, 24
1413, Luo Baggio, Brescia, 36
1414, Batty, Rome, 33
1415, Duncan, Spurs, 27
1416, Linghu Chong, Swordsman, 28
1417, Kidd, New Jersey Nets, 30
1418, Bryant, Los Angeles Lakers, 24
1419, Luo Baggio, Brescia, 36
1420, Batty, Rome, 33
1421, Duncan, Spurs, 27
1422, Linghu Chong, Swordsman, 28
1423, Kidd, New Jersey Nets, 30
1424, Bryant, Los Angeles Lakers, 24
1425, Linghu Chong, Swordsman, 28
1426, Kidd, New Jersey Nets, 30
1427, Bryant, Los Angeles Lakers, 24
1428, Luo Baggio, Brescia, 36
1429, Batty, Rome, 33
1430, Duncan, Spurs, 27
1431, Linghu Chong, Swordsman, 28
1432, Kidd, New Jersey Nets, 30
1433, Bryant, Los Angeles Lakers, 25
1434, Ro Baggio, Brescia, 36
1435, Batty, Rome, 33
1436, Duncan, Spurs, 27
1437, Linghu Chong, Swordsman, 28
1438, Kidd, New Jersey Nets, 30
1439, Bryant, Los Angeles Lakers, 24
1440, Luo Baggio, Brescia, 36
1441, Batty, Rome, 33
1442, Duncan, Spurs, 27
1443, Linghu Chong, Swordsman, 28
1444, Kidd, New Jersey Nets, 30
1445, Bryant, Los Angeles Lakers, 24
1446, Ro Baggio, Brescia, 36
1447, Batty, Rome, 33
1448, Duncan, Spurs, 27
1449, Linghu Chong, Swordsman, 28
1450, Kidd, New Jersey Nets, 30
1451, Bryant, Los Angeles Lakers, 24
1452, Luo Baggio, Brescia, 36
1453, Batty, Rome, 33
1454, Duncan, Spurs, 27
